date,serial_number,model,user_capacity,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2016-03-26,S300ZAHV,ST4000DM000,4000787030016,0,116,116884664,92,0,100,8,100,0,81,155692420,96,3935,100,0,100,8,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,98.0,5093.0,21.0,21.0,100,0,100,0,200,0,100.0,3873.0,100.0,18063890003.0,100.0,18632429511.0
2016-03-26,Z302BV7M,ST4000DM000,4000787030016,0,118,168426896,94,0,100,6,100,0,84,265172361,92,7495,100,0,100,6,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,100.0,0.0,83.0,34140.0,29.0,29.0,100,0,100,0,200,0,100.0,7361.0,100.0,26765200560.0,100.0,4892775510.0
2016-03-26,S301NGZ7,ST4000DM000,4000787030016,0,102,4797600,96,0,100,4,100,0,82,170054748,96,4087,100,0,100,4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,99.0,3480.0,36.0,36.0,100,0,100,0,200,0,100.0,4002.0,100.0,19691245024.0,100.0,2115915289.0
2016-03-26,S3010M78,ST4000DM000,4000787030016,0,118,200850848,91,0,100,13,100,0,84,272956908,92,7258,100,0,100,13,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,82.0,36927.0,30.0,30.0,100,0,100,0,200,0,100.0,6928.0,100.0,25731035672.0,100.0,3941294405.0
2016-03-26,Z3029FT4,ST4000DM000,4000787030016,0,115,92206576,96,0,100,4,100,0,87,632311887,88,10995,100,0,100,4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,62.0,38.0,100.0,0.0,100.0,0.0,99.0,2885.0,38.0,38.0,100,0,100,0,200,0,100.0,10983.0,100.0,19091502648.0,100.0,163485078431.0
2016-03-26,S301NGZ8,ST4000DM000,4000787030016,0,118,198524072,96,0,100,4,100,0,82,181111034,96,4088,100,0,100,4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,0.0,98.0,4008.0,34.0,34.0,100,0,100,0,200,0,100.0,4004.0,100.0,20141010008.0,100.0,2096425888.0
2016-03-26,S3010M72,ST4000DM000,4000787030016,0,113,56685392,95,0,100,5,100,0,83,212593259,94,6053,100,0,100,4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,79.0,42164.0,25.0,25.0,100,0,100,0,200,0,100.0,5723.0,100.0,23086169488.0,100.0,2630845369.0
2016-03-26,S300Z6KD,ST4000DM000,4000787030016,0,119,228050616,97,0,100,3,100,0,84,242933811,93,6445,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,85.0,31896.0,28.0,28.0,100,0,100,0,200,0,100.0,6170.0,100.0,25021078776.0,100.0,6726123028.0
2016-03-26,Z3041C28,ST4000DM000,4000787030016,0,119,233231600,98,0,100,2,100,0,82,184125288,96,4237,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,95.0,11254.0,31.0,31.0,100,0,100,0,200,0,100.0,9015136358494.0,100.0,9265523256.0,100.0,5905220387.0
2016-03-26,Z305GWY6,ST4000DM000,4000787030016,0,112,46666824,99,0,100,1,100,0,76,49924986,99,921,100,0,100,1,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,99.0,2914.0,36.0,36.0,100,0,100,0,200,0,100.0,902.0,100.0,8233178432.0,100.0,538182871.0
2016-03-26,Z300CWTK,ST4000DM000,4000787030016,0,113,53669856,96,0,100,4,100,0,87,638821219,75,22310,100,0,100,4,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,1.0,97.0,6839.0,24.0,24.0,100,0,100,0,200,0,100.0,22278.0,100.0,27440830792.0,100.0,125250923439.0
2016-03-26,Z305GWY3,ST4000DM000,4000787030016,0,116,108320848,98,0,100,2,100,0,77,50811687,99,921,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,99.0,2923.0,30.0,30.0,100,0,100,0,200,0,100.0,901.0,100.0,8291452000.0,100.0,695979974.0
2016-03-26,Z304HWJW,ST4000DM000,4000787030016,0,107,13846648,98,0,100,2,100,0,81,137073112,96,3582,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,98.0,5751.0,23.0,23.0,100,0,100,0,200,0,100.0,3526.0,100.0,16708698320.0,100.0,1540869723.0
2016-03-26,S301GMGT,ST4000DM000,4000787030016,0,110,26597744,98,0,100,2,100,0,81,133519071,96,3583,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,100.0,1619.0,28.0,28.0,100,0,100,0,200,0,100.0,3542.0,100.0,16244913184.0,100.0,1479917113.0
2016-03-26,S300ZAFR,ST4000DM000,4000787030016,0,117,164357848,95,0,100,5,100,0,84,238516957,93,6416,100,0,100,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,87.0,27462.0,31.0,31.0,100,0,100,0,200,0,100.0,6165.0,100.0,24842465240.0,100.0,5959758523.0
2016-03-26,Z301CSGE,ST4000DM000,4000787030016,0,117,145045776,99,0,100,14,100,0,84,295265348,92,7617,100,0,100,1,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,99.0,3089.0,19.0,19.0,100,0,100,0,200,0,100.0,7608.0,100.0,17128640416.0,100.0,6266106220.0
2016-03-26,W300JMQL,ST4000DM000,4000787030016,0,116,107678888,92,0,100,26,100,0,87,502068043,74,22932,100,0,100,26,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,99.0,1.0,78.0,22.0,100.0,0.0,100.0,7.0,45.0,111986.0,22.0,22.0,100,0,100,0,200,0,100.0,22434.0,100.0,27109395018.0,100.0,300993745784.0
2016-03-26,Z300PAB5,ST4000DM000,4000787030016,0,116,110961616,92,0,100,16,100,0,87,536169253,76,21507,100,0,100,16,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,72.0,28.0,100.0,0.0,100.0,7.0,96.0,9183.0,28.0,28.0,100,0,100,0,200,0,100.0,21434.0,100.0,26245380808.0,100.0,263567853147.0
